song_name;artist;cover_image;duration;genre;tempo;activity;mood;release_year
(I Can't Get No) Satisfaction - Mono Version;The Rolling Stones;https://i.scdn.co/image/976049017fbc58656c1053b24f6842ae56f61da8;222813;1;1;1;1;1965
...Baby One More Time;Britney Spears;https://i.scdn.co/image/21eb19a80704f8dbf8176d0db0fd517fa32e669c;211067;2;2;2;2;1999
19 You + Me;Dan + Shay;https://i.scdn.co/image/c2ce5cd9566002e99001e96e3bfa509e2e537f2b;217407;3;1;1;3;2014
6 God;Drake;https://i.scdn.co/image/d329671363eb7826b5871eef978841c7db97c757;180667;4;2;2;3;2015
6 Underground;Sneaker Pimps;https://i.scdn.co/image/da9a0117601d6582c4148f2be7804a197f5d343d;228840;2;1;1;4;1996
7-Rooms Of Gloom;Four Tops;https://i.scdn.co/image/0435e7b5fad130bbad155d07c6ef071dfb5c76a6;154573;2;3;3;3;2004
9;Drake;https://i.scdn.co/image/0605b8e1943dae273a594eb5ae35c7422e491eb3;255787;4;2;2;3;2016
A Penny for Your Thoughts;Tavares;https://i.scdn.co/image/c6c196db2c79233a75632ab628433574d575d019;270067;5;1;1;5;2010
A Trick of the Night;Bananarama;https://i.scdn.co/image/ad78e4b87bd3295b5cd7484eb4a6253af18c85c3;278175;2;2;2;2;1986
A Woman Like You;Lee Brice;https://i.scdn.co/image/4878af9a00d804c37550aa868e8640e8a27b43c8;209787;3;1;1;3;2012
ASTROTHUNDER;Travis Scott;https://i.scdn.co/image/cdca7dc20c778ada42fb18506ea1f26857f01d17;142969;2;1;1;4;2018
Adorn;Miguel;https://i.scdn.co/image/59074ca2a6e0bbaf8eed60c05a5e55e65efab976;193147;2;1;1;4;2012
Adrienne;Tommy James;https://i.scdn.co/image/c8ee78bdc78125fc02040105b0f9f1044f49678e;161267;2;2;2;2;1971
Adult Education;Daryl Hall & John Oates;https://i.scdn.co/image/3e3d6066d5821d653a716581de51b88e1ea93fe0;323613;1;2;2;1;1983
Again and Again;Jewel;https://i.scdn.co/image/5ac2c6c6185b9ecf6e636951e309613cd812e613;236173;6;1;1;3;2005
Against The Wind;Bob Seger;https://i.scdn.co/image/c0e03dbe88d99dd72818e03f9dfb824a30152126;333720;1;2;2;1;1980
Ain't Nobody;Diana King;https://i.scdn.co/image/754f3431f10dc1c5b0cafb244241d80f31bfc799;321907;6;2;3;3;1995
Alcohol;Brad Paisley;https://i.scdn.co/image/310f4ce022145f455a01c8b31f7b0c7c8e108d27;290933;3;1;1;3;2005
All Along the Watchtower;Jimi Hendrix;https://i.scdn.co/image/bf44daf8c3f35de83e5875bc49791c1347ef36f0;240800;1;2;2;1;1968
All Good Things (Come To An End);Nelly Furtado;https://i.scdn.co/image/593f2fa29c90dae2e7f4ea256ecae8a403406b78;311187;7;2;3;3;2006
All Lips 'n Hips;Electric Boys;https://i.scdn.co/image/cc075633fdce516c83105e569eaae8e04f3407e2;262757;8;2;4;6;1990
All Of The Lights;Kanye West;https://i.scdn.co/image/cafd8763a050dabc4f6157172bb09a23d09abde3;299613;4;1;1;4;2010
All Your Life;The Band Perry;https://i.scdn.co/image/ca53f0d4381faa7b44c36214bb707f3da407a387;231933;3;1;1;3;2010
All of Me;John Legend;https://i.scdn.co/image/c8158793e47b777c99792cf8b4886807417589b0;269560;5;2;3;5;2013
Alligator Bogaloo;Lou Donaldson;https://i.scdn.co/image/d0f83c01dfad1abee5540ced04bf7846b69db3c5;417000;9;2;5;3;1967
Alright;Kendrick Lamar;https://i.scdn.co/image/5d78516b21c1845a1fc3b2bbb94c745998c19146;219333;4;2;2;3;1989
Always On My Mind;Willie Nelson;https://i.scdn.co/image/b95412e78f6d029f4c0312f4d7872655e1111910;212667;3;3;3;3;1982
